ed,Date (Planned),Date (Published),Month,Day,Name,Title,Detail,Examples,Status,Creator,Time (in minutes),Video Link,Sound/Music
70,Jan/8/24,8 Jan 2024,January,Monday,map(),Map() function in python-part 02,"In this video i discussed about the Map() function 
in python-part 02",3,Done,Rimsha,7,https://youtu.be/t4CMX6-ETbM,FALSE
71,Jan/8/24,8 Jan 2024,January,Monday, passing set to function in python, passing set to function in python,,5,Done,Mehraj,2,https://youtu.be/Bq1A40Z9_Aw,FALSE
72,Jan/8/24,8 Jan 2024,January,Monday,,Recursionin Python,,,Done,Mehraj,5,https://youtube.com/watch?v=F0yA3rcCj5k,TRUE
73,Jan/8/24,8 Jan 2024,January,Monday,"Dictionary.indert()
Dictionary.add()","inserting /AAding in new item
Dictionary","In this video i discussed about the  inserting/Aading
 in new item Dictionary
",,Done,Shumaila,8,https://youtu.be/WaBWu-U1AVc,FALSE
74,Jan/9/24,9 Jan 2024,January,Tuesday,filter(),filter function in python,"In this video i discussed about the filter() function 
in python",3,Done,Rimsha,6,https://youtu.be/QjsRfE0xxz0,FALSE
75,Jan/9/24,9 Jan 2024,January,Tuesday,del Dict,"Deleting Dictionary Element
 in python","In this video i discussed about the  Deleting
 dictionaryin python",,Done,Shumaila,6,https://youtu.be/NSBNibn1PoM,FALSE
76,Jan/9/24,9 Jan 2024,January,Tuesday,,solve problem on Hackerrankl.,In this video i disscussed about the hanckerrank problem,,Done,Mehraj,6,https://youtu.be/2PPynhDSp_g,TRUE
77,Jan/9/24,9 Jan 2024,January,Tuesday,,Passing list to function,In this video i disscussed about how to pass the list in to function.,,Done,Mehraj,2,https://youtu.be/QP7-t-npI6Q,TRUE
78,Jan/9/24,9 Jan 2024,January,Tuesday,type(),Test Dictionary key in python,"In this video i disscussed about test dictionary key
 in python.",,Done,Shumaila,5,https://youtu.be/SSDFgD9qE2U,TRUE
79,Jan/10/24,10 Jan 2024,January,Wednesday,,passing set to function,In this video i disscussed about how to pass the se tin to function.,,Done,Mehraj,2,https://youtu.be/Bq1A40Z9_Aw,TRUE
80,Jan/10/24,10 Jan 2024,January,Wednesday,,return set from function,In this video i disscussed about how to return the set in to function.,,Done,Mehraj,2,https://youtu.be/cz1s6sc99Sw,TRUE
81,Jan/10/24,10 Jan 2024,January,Wednesday,,return list to function,In this video i disscussed about how to return the list in to function.,,Done,Mehraj,2,https://youtu.be/I9zNSwqL-Ls,TRUE
82,Jan/10/24,10 Jan 2024,January,Wednesday,,"Reading text fileRead() function 
in python","In this video i desscussed about the Reading text
 file/Read() function in python",2,Done,Rimsha,5,https://youtu.be/msYHSKJuTt4,FALSE
83,Jan/10/24,10 Jan 2024,January,Wednesday,,"print a calendar for the given 
month and year in python","
i will disscuss about how to print a calendar 
for the given month and year in python

",,Done,Shumaila,3,https://youtu.be/Hr8AHvD1qhA,FALSE
84,Jan/10/24,10 Jan 2024,January,Wednesday,for,"Accessing Dictionary using
 for loop","
i will disscuss about Accessing Dictionary using 
for loop

",,Done,Shumaila,8,https://youtu.be/7Uo071_A0xE,TRUE
85,Jan/10/24,10 Jan 2024,January,Wednesday,Average of N number,"how to find average of n number
 in python","i will disscuss about find average of N number in 
python",,Done,Shumaila,,https://youtu.be/ASfdXhM0RV4,TRUE
